Sample,Date,% Nitrogen,% Carbon,CN Ratio
RedSpruce,Aug-16,0.759,51.94,68.43
RedSpruce,Aug-16,0.7606,51.79,68.09
RedSpruce,Aug-16,0.759,51.77,68.21
GreenSpruce,Aug-16,0.7536,45.91,60.92
GreenSpruce,Aug-16,0.7177,46.07,64.19
GreenSpruce,Aug-16,0.7237,45.6,63.01
Lodgepole,Aug-16,0.885,53.74,60.72
Lodgepole,Aug-16,0.8767,53.76,61.32
Lodgepole,Aug-16,0.8541,53.63,62.79
RedSpruce,Oct-18,0.9147,48.62,53.15
RedSpruce,Oct-18,0.9145,48.03,52.52
RedSpruce,Oct-18,0.9632,49.19,51.07
GreenSpruce,Oct-18,1.073,47.17,43.96
GreenSpruce,Oct-18,0.4921,21.28,43.24
GreenSpruce,Oct-18,1.003,48.21,48.07
Lodgepole,Oct-18,0.8474,51.18,60.4
Lodgepole,Oct-18,0.7848,52.56,66.97
Lodgepole,Oct-18,0.5775,51.82,89.73
,,,,