Date,Sample,DOC,TN,UV 254,SUVA (L/mg-M),,,
6_15_17,RedSpruce,4.6960,0.2769,0.0930,1.980,,,
6_15_17,RedSpruce,3.5030,0.2877,0.1101,3.143,,,
6_15_17,RedSpruce,5.6450,0.4948,0.1753,3.105,,,
6_15_17,RedSpruce,6.9930,0.7453,0.1525,2.181,,,
6_15_17,RedSpruce,6.6540,0.6482,0.0827,1.243,,,
6_15_17,RedSpruce,4.3180,0.4727,0.0783,1.813,,,
6_15_17,Control,4.9900,0.3837,0.1863,3.733,,,
6_15_17,Control,2.9090,0.1846,0.0528,1.815,,,
6_14_17,Control,3.8180,0.3627,0.0394,1.032,,,
6_14_17,Control,3.9220,0.7077,0.0521,1.328,,,
6_15_17,Control,2.9770,0.4312,0.0660,2.217,,,
6_14_17,Control,7.4250,0.6520,0.2368,3.189,,,
6_15_17,Control,8.1510,0.7627,0.3177,3.898,,,
6_14_17,Lodgepole,3.1170,0.2039,0.0616,1.976,,,
6_14_17,Lodgepole,5.4360,0.3020,0.1740,3.201,,,
6_14_17,Lodgepole,3.2440,0.3556,0.0861,2.654,,,
6_15_17,Lodgepole,4.0620,0.3405,0.0267,0.657,,,
6_15_17,Lodgepole,5.6140,0.4545,0.1378,2.455,,,
6_15_17,Lodgepole,4.0320,0.6095,0.0618,1.533,,,
6_14_17,GreenSpruce,6.2270,0.4558,0.2314,3.716,,,
6_14_17,GreenSpruce,5.0070,0.2987,0.1136,2.269,,,
6_15_17,GreenSpruce,7.4870,0.8253,-,-,,,
6_15_17,GreenSpruce,6.2770,0.4928,0.0866,1.380,,,
6_15_17,GreenSpruce,12.5900,0.9386,0.2995,2.379,,,
10_13_17,RedSpruce,9.34,0.516,0.2287,2.449,,,
10_13_17,RedSpruce,4.90,0.303,0.0417,0.851,,,
10_13_17,RedSpruce,5.93,0.308,0.1337,2.254,,,
10_13_17,Lodgepole,7.97,0.319,0.1041,1.306,,,
10_13_17,Lodgepole,16.28,0.885,0.3298,2.026,,,
10_13_17,Lodgepole,12.63,0.694,0.172,1.362,,,
10_13_17,Lodgepole,12.72,0.605,0.306888889,2.412,,,
10_13_17,Control,13.74,0.706,0.3372,2.454,,,
10_13_17,Control,11.80,0.689,0.148428571,1.258,,,
10_13_17,Control,9.82,0.639,0.177807692,1.810,,,
10_13_17,GreenSpruce,7.89,0.510,0.081642857,1.035,,,
10_13_17,GreenSpruce,17.50,0.776,0.52525,3.001,,,
10_13_17,GreenSpruce,19.42,1.081,0.438428571,2.258,,,
5_26_18,Lodgepole,6.563,0.000,0.295,4.498,,,
5_26_18,Lodgepole,8.754,0.571,0.247,2.826,,,
5_26_18,Lodgepole,12.860,0.604,0.421,3.272,,,
5_27_18,Lodgepole,14.510,0.000,0.483,3.325,,,
5_27_18,Lodgepole,8.836,0.450,0.390,4.416,,,
5_26_18,GreenSpruce,9.626,0.000,0.338,3.506,,,
5_26_18,GreenSpruce,6.363,0.000,0.160,2.513,,,
5_26_18,GreenSpruce,13.456,0.000,0.342,2.542,,,
5_27_18,GreenSpruce,5.881,0.000,0.157,2.673,,,
5_27_18,GreenSpruce,8.406,0.000,0.308,3.665,,,
5_27_18,GreenSpruce,12.567,0.000,1.719,13.676,,,
5_26_18,RedSpruce,10.001,0.000,0.338,3.383,,,
5_26_18,RedSpruce,5.587,0.000,0.198,3.537,,,
5_26_18,RedSpruce,6.833,0.000,0.120,1.758,,,
5_27_18,RedSpruce,4.209,0.000,0.113,2.675,,,
5_27_18,RedSpruce,6.467,0.000,0.244,3.767,,,
5_27_18,Control,3.877,0.000,0.122,3.139,,,
5_27_18,Control,5.732,0.000,0.221,3.852,,,
5_27_18,Control,8.655,0.000,0.395,4.563,,,
5_26_18,Control,5.596,0.000,-,-,,,
5_26_18,Control,5.814,0.000,0.191,3.285,,,
5_26_18,Control,8.229,0.000,0.350,4.248,,,
10_26_18,GreenSpruce,16.515,1.204,0.391,2.366,,,
10_26_18,GreenSpruce,14.960,0.920,0.443,2.959,,,
10_26_18,GreenSpruce,10.764,0.631,0.187,1.733,,,
10_26_18,Lodgepole,14.140,0.682,0.749,5.299,,,
10_26_18,Lodgepole,12.688,0.721,-,-,,,
10_26_18,Lodgepole,23.500,0.873,0.771,3.281,,,
10_26_18,RedSpruce,8.672,0.539,-,-,,,
10_26_18,RedSpruce,10.050,0.610,0.214,2.131,,,
10_26_18,Control,12.990,0.958,-,-,,,